derived_sample_id	seq_tech	ebi_sample_acc
AD0411-C	HiSeq	ERS157530
AD0412-C	HiSeq	ERS176044
AD0413-C	HiSeq	ERS176036
AD0414-C	HiSeq	ERS176063
AD0415-C	HiSeq	ERS156455
AD0416-C	HiSeq	ERS176060
AD0417-C	HiSeq	ERS156431
AD0418-C	HiSeq	ERS176058
AD0419-C	HiSeq	ERS156448
AD0420-C	HiSeq	ERS156869
AD0421-C	HiSeq	ERS156791
AD0422-C	HiSeq	ERS156438
AD0423-C	HiSeq	ERS176028
AD0424-C	HiSeq	ERS157528
AD0425-C	HiSeq	ERS176034
AD0426-C	HiSeq	ERS176066
AD0427-C	HiSeq	ERS156498
AD0428-C	HiSeq	ERS156490
AD0429-C	HiSeq	ERS176062
AD0430-C	HiSeq	ERS156503
AD0431-C	HiSeq	ERS156835
AD0432-C	HiSeq	ERS157521
AD0433-C	HiSeq	ERS156831
AD0434-C	HiSeq	ERS156469
AD0435-C	HiSeq	ERS156473
AD0436-C	HiSeq	ERS156508
AD0437-C	HiSeq	ERS157533
AD0438-C	HiSeq	ERS156496
AD0439-C	HiSeq	ERS156511
AD0440-C	HiSeq	ERS156484
AD0441-C	HiSeq	ERS156481
AD0442-C	HiSeq	ERS156842
AD0443-C	HiSeq	ERS156497
AD0444-C	HiSeq	ERS176037
AD0445-C	HiSeq	ERS156440
AD0446-C	HiSeq	ERS157519
AD0447-C	HiSeq	ERS156470
AD0448-C	HiSeq	ERS176039
AD0449-C	HiSeq	ERS156855
AD0450-C	HiSeq	ERS156449
AD0451-C	HiSeq	ERS156517
AD0452-C	HiSeq	ERS176067
AD0453-C	HiSeq	ERS156489
AD0454-C	HiSeq	ERS156510
AD0455-C	HiSeq	ERS156513
AD0456-C	HiSeq	ERS156811
AD0457-C	HiSeq	ERS156467
AD0458-C	HiSeq	ERS156867
AD0459-C	HiSeq	ERS156482
AD0460-C	HiSeq	ERS156792
AD0461-C	HiSeq	ERS156830
AD0462-C	HiSeq	ERS156463
AD0463-C	HiSeq	ERS156445
AD0464-C	HiSeq	ERS156459
AD0465-C	HiSeq	ERS176064
AD0466-C	HiSeq	ERS156858
AD0467-C	HiSeq	ERS156480
AD0468-C	HiSeq	ERS156457
AD0469-C	HiSeq	ERS156786
AD0471-C	HiSeq	ERS156462
AD0472-C	HiSeq	ERS156514
AD0473-C	HiSeq	ERS156841
AD0474-C	HiSeq	ERS176046
AD0476-C	HiSeq	ERS176068
AD0477-C	HiSeq	ERS176035
AD0478-C	HiSeq	ERS176073
AD0479-C	HiSeq	ERS156450
AD0480-C	HiSeq	ERS156441
AD0481-C	HiSeq	ERS156468
AD0482-C	HiSeq	ERS176072
AD0483-C	HiSeq	ERS156433
AD0484-C	HiSeq	ERS156464
AD0485-C	HiSeq	ERS156798
AD0486-C	HiSeq	ERS156875
AD0487-C	HiSeq	ERS156862
AD0488-C	HiSeq	ERS156810
AD0489-C	HiSeq	ERS156820
AD0490-C	HiSeq	ERS156849
AD0491-C	HiSeq	ERS156790
AD0492-C	HiSeq	ERS156837
AD0493-C	HiSeq	ERS156787
AD0494-C	HiSeq	ERS156493
AD0495-C	HiSeq	ERS156822
AD0496-C	HiSeq	ERS156816
AD0497-C	HiSeq	ERS156465
AD0498-C	HiSeq	ERS176042
AD0499-C	HiSeq	ERS154452
AD0500-C	HiSeq	ERS176030
AD0501-C	HiSeq	ERS156460
AD0502-C	HiSeq	ERS176049
AD0503-C	HiSeq	ERS176053
AD0504-C	HiSeq	ERS156836
AD0505-C	HiSeq	ERS156854
AD0506-C	HiSeq	ERS156821
AD0507-C	HiSeq	ERS156439
AD0508-C	HiSeq	ERS157522
AD0509-C	HiSeq	ERS157532
AD0510-C	HiSeq	ERS176031
AD0511-C	HiSeq	ERS176052
AD0512-C	HiSeq	ERS157515
AD0513-C	HiSeq	ERS156829
AD0514-C	HiSeq	ERS176026
AD0515-C	HiSeq	ERS156878
AD0516-C	HiSeq	ERS156874
AD0517-C	HiSeq	ERS176069
AD0518-C	HiSeq	ERS157524
AD0519-C	HiSeq	ERS157531
AD0520-C	HiSeq	ERS176061
AD0521-C	HiSeq	ERS176038
AD0522-C	HiSeq	ERS156506
AD0523-C	HiSeq	ERS176032
AD0524-C	HiSeq	ERS177592
AD0525-C	HiSeq	ERS177512
AD0526-C	HiSeq	ERS177609
AD0527-C	HiSeq	ERS177528
AD0528-C	HiSeq	ERS177441
AD0529-C	HiSeq	ERS177545
AD0530-C	HiSeq	ERS177498
AD0531-C	HiSeq	ERS177593
AD0532-C	HiSeq	ERS177513
AD0533-C	HiSeq	ERS177608
AD0534-C	HiSeq	ERS177527
AD0535-C	HiSeq	ERS177453
AD0536-C	HiSeq	ERS177550
AD0537-C	HiSeq	ERS177467
AD0538-C	HiSeq	ERS177564
AD0539-C	HiSeq	ERS177479
AD0540-C	HiSeq	ERS177477
AD0541-C	HiSeq	ERS177570
AD0542-C	HiSeq	ERS177489
AD0543-C	HiSeq	ERS177585
AD0545-C	HiSeq	ERS177597
AD0546-C	HiSeq	ERS177524
AD0579-C	HiSeq	ERS177533
AD0580-C	HiSeq	ERS177483
AD0581-C	HiSeq	ERS177580
AD0582-C	HiSeq	ERS177500
AD0583-C	HiSeq	ERS177595
AD0584-C	HiSeq	ERS177511
AD0585-C	HiSeq	ERS177610
AD0586-C	HiSeq	ERS177530
AD0587-C	HiSeq	ERS177439
AD0588-C	HiSeq	ERS177544
AD0589-C	HiSeq	ERS177463
AD0590-C	HiSeq	ERS177493
AD0591-C	HiSeq	ERS177589
AD0592-C	HiSeq	ERS177508
AD0593-C	HiSeq	ERS177606
AD0594-C	HiSeq	ERS177522
AD0595-C	HiSeq	ERS177438
AD0596-C	HiSeq	ERS177542
AD0597-C	HiSeq	ERS177456
AD0598-C	HiSeq	ERS177552
AD0599-C	HiSeq	ERS177470
AD0600-C	HiSeq	ERS177485
AD0602-C	HiSeq	ERS177506
AD0603-C	HiSeq	ERS177600
AD0604-C	HiSeq	ERS177521
AD0606-C	HiSeq	ERS177537
AD0607-C	HiSeq	ERS177452
AD0608-C	HiSeq	ERS177549
AD0609-C	HiSeq	ERS177465
AD0610-C	HiSeq	ERS177602
AD0611-C	HiSeq	ERS177517
AD0612-C	HiSeq	ERS177443
AD0613-C	HiSeq	ERS177540
AD0614-C	HiSeq	ERS177457
AD0615-C	HiSeq	ERS177553
AD0616-C	HiSeq	ERS177468
AD0617-C	HiSeq	ERS177565
AD0618-C	HiSeq	ERS177482
AD0619-C	HiSeq	ERS177577
AD0620-C	HiSeq	ERS177607
AD0621-C	HiSeq	ERS177526
AD0622-C	HiSeq	ERS177444
AD0623-C	HiSeq	ERS177551
AD0624-C	HiSeq	ERS177466
AD0625-C	HiSeq	ERS177563
AD0626-C	HiSeq	ERS177478
AD0627-C	HiSeq	ERS177574
AD0628-C	HiSeq	ERS177494
AD0629-C	HiSeq	ERS177588
AD0630-C	HiSeq	ERS177582
AD0631-C	HiSeq	ERS177501
AD0632-C	HiSeq	ERS177598
AD0634-C	HiSeq	ERS177437
AD0636-C	HiSeq	ERS177455
AD0637-C	HiSeq	ERS177554
AD0638-C	HiSeq	ERS177469
AD0639-C	HiSeq	ERS177569
AD0640-C	HiSeq	ERS177525
AD0641-C	HiSeq	ERS177442
AD0642-C	HiSeq	ERS177539
AD0643-C	HiSeq	ERS177459
AD0644-C	HiSeq	ERS177559
AD0645-C	HiSeq	ERS177476
AD0646-C	HiSeq	ERS177571
AD0647-C	HiSeq	ERS177488
AD0648-C	HiSeq	ERS177583
AD0649-C	HiSeq	ERS177502
AD0650-C	HiSeq	ERS177503
AD0651-C	HiSeq	ERS177601
AD0652-C	HiSeq	ERS177518
AD0653-C	HiSeq	ERS177614
AD0654-C	HiSeq	ERS177534
AD0655-C	HiSeq	ERS177449
AD0656-C	HiSeq	ERS177555
AD0657-C	HiSeq	ERS177613
AD0658-C	HiSeq	ERS177535
AD0659-C	HiSeq	ERS177450
AD0660-C	HiSeq	ERS177480
AD0661-C	HiSeq	ERS177575
AD0662-C	HiSeq	ERS177495
AD0663-C	HiSeq	ERS177590
AD0664-C	HiSeq	ERS177509
AD0665-C	HiSeq	ERS177605
AD0666-C	HiSeq	ERS177523
AD0667-C	HiSeq	ERS177445
AD0668-C	HiSeq	ERS177548
AD0669-C	HiSeq	ERS177461
AD0670-C	HiSeq	ERS177596
AD0671-C	HiSeq	ERS177516
AD0672-C	HiSeq	ERS177612
AD0673-C	HiSeq	ERS177532
AD0674-C	HiSeq	ERS177448
AD0675-C	HiSeq	ERS177547
AD0676-C	HiSeq	ERS177464
AD0677-C	HiSeq	ERS177562
AD0678-C	HiSeq	ERS177481
AD0679-C	HiSeq	ERS177576
AD0680-C	HiSeq	ERS177584
AD0681-C	HiSeq	ERS177492
AD0682-C	HiSeq	ERS177587
AD0683-C	HiSeq	ERS177505
AD0684-C	HiSeq	ERS177603
AD0685-C	HiSeq	ERS177520
AD0686-C	HiSeq	ERS177616
AD0687-C	HiSeq	ERS177536
AD0688-C	HiSeq	ERS177451
AD0689-C	HiSeq	ERS177557
AD0690-C	HiSeq	ERS177579
AD0691-C	HiSeq	ERS177499
AD0692-C	HiSeq	ERS177594
AD0693-C	HiSeq	ERS177515
AD0694-C	HiSeq	ERS177433
AD0695-C	HiSeq	ERS177531
AD0696-C	HiSeq	ERS177446
AD0697-C	HiSeq	ERS177472
AD0698-C	HiSeq	ERS177568
AD0699-C	HiSeq	ERS177484
AD0700-C	HiSeq	ERS177543
AD0701-C	HiSeq	ERS177458
AD0702-C	HiSeq	ERS177558
AD0703-C	HiSeq	ERS177473
AD0704-C	HiSeq	ERS177566
AD0705-C	HiSeq	ERS177486
AD0706-C	HiSeq	ERS177578
AD0707-C	HiSeq	ERS177496
AD0709-C	HiSeq	ERS177514
AD0710-C	HiSeq	ERS177510
AD0711-C	HiSeq	ERS177611
AD0712-C	HiSeq	ERS177529
AD0713-C	HiSeq	ERS177447
AD0714-C	HiSeq	ERS177546
AD0715-C	HiSeq	ERS177462
AD0716-C	HiSeq	ERS177561
AD0717-C	HiSeq	ERS177475
AD0719-C	HiSeq	ERS177490
AD0720-C	HiSeq	ERS177519
AD0721-C	HiSeq	ERS177615
AD0722-C	HiSeq	ERS177541
AD0723-C	HiSeq	ERS177454
AD0724-C	HiSeq	ERS177556
AD0725-C	HiSeq	ERS177471
