path	sample	reads	bases
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/d/3/3/9/1215024/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0336-C	105337132	10096332400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/3/a/4/1217221/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0143-C	99129099	9495177800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/0/f/7/1214925/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0278-C	95065328	9097859000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/e/2/1/2/1216369/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0042-C	100840507	9709852400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/6/b/b/1216003/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AS0060-C	94241634	9030267400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/6/1/8/1217021/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0259-C	95312665	9151010000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/6/4/f/f/1217114/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AB0234-C	79120425	7602204200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/4/f/3/1215921/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0086-C	79808189	7697401200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/1/4/e/9/1217235/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AC0104-Cx	89751489	8573841200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/6/4/3/1217302/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0043-C	96511122	9205867000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/5/2/7/2/1215647/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0053-C	100988059	9444475400
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/7/9/e/1216779/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0268-C	85445088	8189692200
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/3/2/6/6/1214995/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0047-C	75660637	7227291600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/c/1/e/b/1216526/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AR0082-Cx	91521253	8774469000
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/2/9/b/4/1216318/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AJ0083-C	93996149	9003581800
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/9/a/2/9/1215827/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AN0188-C	85782786	8107475600
/lustre/scratch118/malaria/team112/pipelines/setups/vo_agam/output/a/8/a/b/1215755/4_bam_fix_mates_v2/pe.1.markdup.reali.sort.bam	AG0097-C	100163427	9576498200
